 id  |                 caller                 |                                target                                 |      action      |  authz  |                             result                              |        inserted_at
-----+----------------------------------------+-----------------------------------------------------------------------+------------------+---------+-----------------------------------------------------------------+----------------------------
 435 | entity://system/user/admin             | session://system/default/e2e-auto?action=session.send                 | send             | granted |                                                                 | 2026-07-01 04:04:52.509339
 436 | session://system/default/e2e-auto      | entity://system/agent/py_default?action=agent.receive                 | receive          | granted |                                                                 | 2026-07-01 04:04:52.524769
 437 | entity://system/user/admin             | session://system/default/e2e-auto?action=session.send                 | send             | granted |                                                                 | 2026-07-01 04:04:52.539207
 438 |                                        | session://system/default/e2e-auto                                     | snapshot.written | n/a     | {"version":0,"bytes":21873,"slices":null,"kind_type":"session"} | 2026-07-01 04:04:52.551749
 439 | entity://system/worker/em_f25dfe7fe1e5 | entity://system/worker/em_f25dfe7fe1e5?action=_.publish               | publish          | granted |                                                                 | 2026-07-01 04:04:52.552854
 440 |                                        | session://system/default/e2e-auto                                     | snapshot.written | n/a     | {"version":0,"bytes":25217,"slices":null,"kind_type":"session"} | 2026-07-01 04:04:52.565923
 441 | session://system/default/e2e-auto      | entity://system/agent/py_default?action=agent.receive                 | receive          | granted |                                                                 | 2026-07-01 04:04:52.572192
 442 |                                        | entity://system/agent/py_default                                      | snapshot.written | n/a     | {"version":0,"bytes":3760,"slices":null,"kind_type":"agent"}    | 2026-07-01 04:04:52.575386
 443 | session://system/default/e2e-auto      | entity://system/agent/py_default?action=py_sync_result.py_sync_result | py_sync_result   | granted |                                                                 | 2026-07-01 04:04:52.575647
 444 | session://system/default/e2e-auto      | entity://system/agent/py_default?action=py_sync_result.py_sync_result | py_sync_result   | granted |                                                                 | 2026-07-01 04:04:52.575887
 445 | entity://system/agent/py_default       | session://system/default/e2e-auto?action=session.send                 | send             | granted |                                                                 | 2026-07-01 04:04:52.575971
 446 |                                        | entity://system/agent/py_default                                      | snapshot.written | n/a     | {"version":0,"bytes":3812,"slices":null,"kind_type":"agent"}    | 2026-07-01 04:04:52.578965
 447 | session://system/default/e2e-auto      | entity://system/user/admin?action=user.receive                        | receive          | granted |                                                                 | 2026-07-01 04:04:52.582413
 448 | session://system/default/e2e-auto      | entity://system/user/admin?action=user.receive                        | receive          | granted |                                                                 | 2026-07-01 04:04:52.582514
 449 |                                        | entity://system/user/admin                                            | snapshot.written | n/a     | {"version":0,"bytes":7014,"slices":null,"kind_type":"user"}     | 2026-07-01 04:04:52.585023
 450 | entity://system/agent/py_default       | session://system/default/e2e-auto?action=session.send                 | send             | granted |                                                                 | 2026-07-01 04:04:52.586623
 451 |                                        | session://system/default/e2e-auto                                     | snapshot.written | n/a     | {"version":0,"bytes":25072,"slices":null,"kind_type":"session"} | 2026-07-01 04:04:52.591713
 452 |                                        | session://system/default/e2e-auto                                     | snapshot.written | n/a     | {"version":0,"bytes":28271,"slices":null,"kind_type":"session"} | 2026-07-01 04:04:52.59672
 453 | entity://system/worker/em_f25dfe7fe1e5 | entity://system/worker/em_f25dfe7fe1e5?action=_.publish               | publish          | granted |                                                                 | 2026-07-01 04:04:52.92756
 454 | entity://system/worker/em_f25dfe7fe1e5 | entity://system/worker/em_f25dfe7fe1e5?action=_.publish               | publish          | granted |                                                                 | 2026-07-01 04:04:52.92805
 455 | entity://system/worker/em_f25dfe7fe1e5 | entity://system/worker/em_f25dfe7fe1e5?action=_.publish               | publish          | granted |                                                                 | 2026-07-01 04:04:53.260116
(21 ÐÐ¼ÇÂ¼)
